nombre_completo,DGC,BTC,EVC,PRC,degree,clustering
Leonora Mendoza Espinola,0.003334568358651352,0.0014675441014691214,3.274132108888896e-07,0.0006402906609497706,9,0.4444444444444444
Julio Romero Figueroa,0.00444609114486847,0.006188447285704568,1.544415585475964e-07,0.0010098470639639872,12,0.19696969696969696
Maria Aguirre Quintana,0.003705075954057058,0.0015055962549212372,3.4086305562560336e-07,0.0008509059468534558,10,0.4
Frans Fuentes Garcia,0.0011115227862171174,0.0,1.8508779435935485e-06,0.00028331937399002187,3,1.0
Fernando Gabler Neale,0.0014820303816228233,0.0013853523433850112,2.217854747261764e-05,0.00034672141637296196,4,0.5
Reinaldo Gonzalez Ramos,0.0014820303816228233,0.00017344369644084747,1.8686676985610936e-06,0.0004527729369928399,4,0.6666666666666666
Maria Johnson Pena,0.0014820303816228233,0.00017344369644084747,1.8686676985610936e-06,0.0004527729369928399,4,0.6666666666666666
Alvaro Bustamante Cadiz,0.0007410151908114116,0.0,5.022823196135844e-07,0.0001398054108067144,2,1.0
Paola Morales Retamales,0.001852537977028529,0.0001731690429231264,3.4760767639881124e-06,0.0004476918266487888,5,0.7
Mario Herrera Marschitz,0.002593553167839941,0.0005194155775968055,3.5490791729415418e-06,0.0005923949245671,7,0.47619047619047616
Paulina Zamorano Varea,0.0003705075954057058,0.0,3.2103570656197263e-33,0.00037037037037037035,1,0.0
Alejandra Araya Espinoza,0.0003705075954057058,0.0,3.2103570656197263e-33,0.00037037037037037035,1,0.0
Maria Sanhueza Riquelme,0.001852537977028529,0.0010398382180919217,0.0001991958701016515,0.0005186169298952588,5,0.4
Maria Sanhueza Toha,0.001852537977028529,0.002421345412228838,0.0025408270497795826,0.0004906108875162029,5,0.2
Flora Vilches Vega,0.0007410151908114116,0.0,0.00019586964334795127,0.00022729671908901922,2,1.0
Angel Leiva Campusano,0.001852537977028529,0.0003466127393639739,6.115083261490643e-06,0.0005839662749963171,5,0.6
Deodato Radic Foschino,0.0011115227862171174,0.0,9.418111078313641e-07,0.0003632387335781999,3,1.0
Alejandro Toro Labbe,0.002223045572434235,2.1972281417684556e-06,2.2310924810166526e-18,0.0005277328341494597,6,0.4666666666666667
Barbara Herrera Pisani,0.0007410151908114116,0.0,7.10236790615069e-19,0.00030892543588592467,2,1.0
Guido Vallejos Oportot,0.0003705075954057058,0.0,3.2103570656197263e-33,0.00037037037037037035,1,0.0
Luis Ramirez Figueroa,0.0003705075954057058,0.0,3.2103570656197263e-33,0.00037037037037037035,1,0.0
Jean Matus Acuña,0.0007410151908114116,2.7465351772105695e-07,3.397377893771704e-30,0.0005279052205604295,2,0.0
Claudia Cardenas Aravena,0.0003705075954057058,0.0,2.4023089469392418e-30,0.0002916029452753407,1,0.0
Maria Brito Astrosa,0.0003705075954057058,0.0,3.2103570656197263e-33,0.00037037037037037035,1,0.0
Ana Eltit Gonzalez,0.0003705075954057058,0.0,3.2103570656197263e-33,0.00037037037037037035,1,0.0
Jose Izquierdo Konig,0.0003705075954057058,0.0,3.2103570656197263e-33,0.00037037037037037035,1,0.0
Victor Rondon Sepulveda,0.0003705075954057058,0.0,3.2103570656197263e-33,0.00037037037037037035,1,0.0
Monica Soler Jauma,0.0007410151908114116,0.0006311143362812315,3.908678883283318e-07,0.00016594583306308013,2,0.0
Roberto Ebensperger Gonzalez,0.0014820303816228233,0.0,0.0005670143320391287,0.0002707542116495758,4,1.0
Luis Lopez Kostner,0.0014820303816228233,0.0,0.0005670143320391287,0.0002707542116495758,4,1.0
Rodrigo Quera Pino,0.003334568358651352,0.0037939810423818724,0.006233723489594419,0.0005777253429292853,9,0.3888888888888889
Karin Alvarez Valenzuela,0.0014820303816228233,0.0,0.0005670143320391286,0.0002707542116495758,4,1.0
Jaime Melendez Rojel,0.001852537977028529,0.0026522084153744246,0.000570247602927405,0.00032567107753461716,5,0.6
Jose Bravo Sanchez,0.0003705075954057058,0.0,3.2103570656197263e-33,0.00037037037037037035,1,0.0
Eugenio Sahady Villanueva,0.0003705075954057058,0.0,3.2103570656197263e-33,0.00037037037037037035,1,0.0
Veronica Errazuriz Cruz,0.0003705075954057058,0.0,2.4023089469392418e-30,0.0002916029452753407,1,0.0
Horst Nitschack ,0.0007410151908114116,2.7465351772105695e-07,3.397377893771704e-30,0.0005279052205604295,2,0.0
Marcela Urzua Acevedo,0.001852537977028529,0.0003466127393639739,6.115083261490643e-06,0.0005306091522522756,5,0.6
Manuel Galea Rojas,0.0003705075954057058,0.0,3.2103570656197263e-33,0.00037037037037037035,1,0.0
Reinaldo Arellano Valle,0.0003705075954057058,0.0,3.2103570656197263e-33,0.00037037037037037035,1,0.0
Pedro Cattan Ayala,0.002593553167839941,4.9437633189790254e-05,1.0742157371955626e-17,0.0007187697362572169,7,0.19047619047619047
Aldo Solari Illescas,0.0014820303816228233,1.6479211063263417e-05,3.407285974833867e-18,0.0005840612466723346,4,0.5
Gonzalo Marin Game,0.0007410151908114116,0.0,7.011947643147682e-27,0.00043528064146508615,2,1.0
Jorge Mpodozis Marin,0.0007410151908114116,0.0,7.011947643147682e-27,0.00043528064146508615,2,1.0
Maria Garland Rodriguez,0.0007410151908114116,0.0,7.011947643147682e-27,0.00037037037037037035,2,1.0
Gino Corsini Acuña,0.0007410151908114116,0.0,7.011947643147682e-27,0.00037037037037037035,2,1.0
Ana Atria Salas,0.0007410151908114116,0.0,7.011947643147682e-27,0.00037037037037037035,2,1.0
