folioproy,paterno,materno,nombre1,calidad,area_estudio,institucion_patrocinante,nota_proyecto,año_concurso,instrumento,nombre_completo
1140241,BUSTOS,CASTILLO,OSCAR,COINVESTIGADOR,ingenieria 1,Univ. De Santiago De Chile,4.023,2014,REGULAR,Oscar Bustos Castillo
1140241,ARTIGAS,ABUIN,ALFREDO,COINVESTIGADOR,ingenieria 1,Univ. De Santiago De Chile,4.023,2014,REGULAR,Alfredo Artigas Abuin
1140243,MENDEZ,FERRADA,FERNANDO,INVEST. RESPONSABLE,"astron.,cosmol.y par",Univ. De Santiago De Chile,4.28,2014,REGULAR,Fernando Mendez Ferrada
1140244,PAILLACAR,SILVA,CARLOS,COINVESTIGADOR,historia,Univ. De Santiago De Chile,4.2,2014,REGULAR,Carlos Paillacar Silva
1140244,TORO,IBACACHE,LENISSETT,COINVESTIGADOR,historia,Univ. De Santiago De Chile,4.2,2014,REGULAR,Lenissett Toro Ibacache
1140244,ROSS,ORELLANA,CESAR,INVEST. RESPONSABLE,historia,Univ. De Santiago De Chile,4.2,2014,REGULAR,Cesar Ross Orellana
1140245,SAAVEDRA,FLORES,ERICK,INVEST. RESPONSABLE,ingenieria 1,Univ. De Santiago De Chile,4.43,2014,REGULAR,Erick Saavedra Flores
1140249,GALOTTO,LOPEZ,MARIA JOSE,COINVESTIGADOR,ingenieria 1,Univ. De Santiago De Chile,4.65,2014,REGULAR,Maria Jose Galotto Lopez
1140249,LOPEZ DE DISCASTILLO,BERGAMO,ANA,INVEST. RESPONSABLE,ingenieria 1,Univ. De Santiago De Chile,4.65,2014,REGULAR,Ana Lopez De Discastillo Bergamo
1140258,LIZAMA,YAÑEZ,CARLOS,INVEST. RESPONSABLE,matematicas,Univ. De Santiago De Chile,4.465,2014,REGULAR,Carlos Lizama Yañez
1140261,SANDINO,GARCIA,ANA,COINVESTIGADOR,salud prod anim,Univ. De Santiago De Chile,4.177,2014,REGULAR,Ana Sandino Garcia
1140261,IMARAI,BAHAMONDE,CARMEN,COINVESTIGADOR,salud prod anim,Univ. De Santiago De Chile,4.177,2014,REGULAR,Carmen Imarai Bahamonde
1140261,MODAK,CANOBRA,BRENDA,INVEST. RESPONSABLE,salud prod anim,Univ. De Santiago De Chile,4.177,2014,REGULAR,Brenda Modak Canobra
1140265,SILVA,CONCHA,JAIME,COINVESTIGADOR,sicologia,Univ. Del Desarrollo,4.57,2014,REGULAR,Jaime Silva Concha
1140265,VIAL,COX,MARIA,COINVESTIGADOR,sicologia,Univ. Del Desarrollo,4.57,2014,REGULAR,Maria Vial Cox
1140265,LECANNELIER,ACEVEDO,FELIPE,INVEST. RESPONSABLE,sicologia,Univ. Del Desarrollo,4.57,2014,REGULAR,Felipe Lecannelier Acevedo
1140266,TAPIA,VILLANUEVA,LUIS,COINVESTIGADOR,sicologia,Univ. Del Desarrollo,4.06,2014,REGULAR,Luis Tapia Villanueva
1140266,PEREIRA,LOPEZ,XIMENA,COINVESTIGADOR,sicologia,Univ. Del Desarrollo,4.06,2014,REGULAR,Ximena Pereira Lopez
1140266,ASPILLAGA,HESSE,MARIA,COINVESTIGADOR,sicologia,Univ. Del Desarrollo,4.06,2014,REGULAR,Maria Aspillaga Hesse
1140266,FOSSA,ARCILA,PABLO,COINVESTIGADOR,sicologia,Univ. Del Desarrollo,4.06,2014,REGULAR,Pablo Fossa Arcila
1140266,MOLINA,PAVEZ,MARIA,INVEST. RESPONSABLE,sicologia,Univ. Del Desarrollo,4.06,2014,REGULAR,Maria Molina Pavez
1140268,ZAMORANO,MENDIETA,FRANCISCO,COINVESTIGADOR,cs. econom/admi,Univ. Del Desarrollo,4.22,2014,REGULAR,Francisco Zamorano Mendieta
1140268,RODRIGUEZ,SICKERT,CARLOS,INVEST. RESPONSABLE,cs. econom/admi,Univ. Del Desarrollo,4.22,2014,REGULAR,Carlos Rodriguez Sickert
1140275,ITURRIAGA,AGUERA,RODRIGO,COINVESTIGADOR,medicina g1,Pont. Univ. Catolica De Chile,4.09,2014,REGULAR,Rodrigo Iturriaga Aguera
1140275,RETAMAL,LUCERO,MAURICIO,COINVESTIGADOR,medicina g1,Pont. Univ. Catolica De Chile,4.09,2014,REGULAR,Mauricio Retamal Lucero
1140275,DEL RIO,TRONCOSO,RODRIGO,INVEST. RESPONSABLE,medicina g1,Pont. Univ. Catolica De Chile,4.09,2014,REGULAR,Rodrigo Del Rio Troncoso
1140278,FUENTES,REBOLLEDO,MIGUEL,INVEST. RESPONSABLE,fisica teorica y exp,Univ. San Sebastian,4.327,2014,REGULAR,Miguel Fuentes Rebolledo
1140284,BARRETO,ROA,MARLEN,COINVESTIGADOR,sicologia,Univ. Autonoma De Chile,4.035,2014,REGULAR,Marlen Barreto Roa
1140284,LERMA,CABRERA,JOSE,COINVESTIGADOR,sicologia,Univ. Autonoma De Chile,4.035,2014,REGULAR,Jose Lerma Cabrera
1140284,CARVAJAL,RUIZ,MARIA,INVEST. RESPONSABLE,sicologia,Univ. Autonoma De Chile,4.035,2014,REGULAR,Maria Carvajal Ruiz
1140289,JAQUE,OLMEDO,PABLO,COINVESTIGADOR,quimica 1,Univ. Andres Bello,4.08,2014,REGULAR,Pablo Jaque Olmedo
1140289,MARTINEZ,ARAYA,JORGE,INVEST. RESPONSABLE,quimica 1,Univ. Andres Bello,4.08,2014,REGULAR,Jorge Martinez Araya
1140290,MASBERNAT,MUÑOZ,PATRICIO,INVEST. RESPONSABLE,cs. juridicas y pol.,Univ. Autonoma De Chile,4.16,2014,REGULAR,Patricio Masbernat Muñoz
1140292,SIMON,RUIZ,MARIA,INVEST. RESPONSABLE,historia,Univ. Autonoma De Chile,4.327,2014,REGULAR,Maria Simon Ruiz
1140296,OLEA,ACEITUNO,RODRIGO,COINVESTIGADOR,"astron.,cosmol.y par",Univ. Andres Bello,4.93,2014,REGULAR,Rodrigo Olea Aceituno
1140296,AROS,OLMEDO,RODRIGO,COINVESTIGADOR,"astron.,cosmol.y par",Univ. Andres Bello,4.93,2014,REGULAR,Rodrigo Aros Olmedo
1140296,SUNDELL,FLOOD,PER,INVEST. RESPONSABLE,"astron.,cosmol.y par",Univ. Andres Bello,4.93,2014,REGULAR,Per Sundell Flood
1140297,REYES,ZAMBRANO,ARIEL,COINVESTIGADOR,biologia 2,Univ. Andres Bello,4.43,2014,REGULAR,Ariel Reyes Zambrano
1140297,FEIJOO,GARCIA,CARMEN,INVEST. RESPONSABLE,biologia 2,Univ. Andres Bello,4.43,2014,REGULAR,Carmen Feijoo Garcia
1140301,STEHBERG,LIBERMAN,JIMMY,COINVESTIGADOR,biologia 2,Univ. Andres Bello,4.79,2014,REGULAR,Jimmy Stehberg Liberman
1140301,VARELA,NALLAR,LORENA,COINVESTIGADOR,biologia 2,Univ. Andres Bello,4.79,2014,REGULAR,Lorena Varela Nallar
1140301,VAN ZUNDERT,MATHYSSEN,BRIGITTE,INVEST. RESPONSABLE,biologia 2,Univ. Andres Bello,4.79,2014,REGULAR,Brigitte Van Zundert Mathyssen
1140306,ALVAREZ,THON,LUIS,INVEST. RESPONSABLE,fisica teorica y exp,Univ. Central De Chile,4.12,2014,REGULAR,Luis Alvarez Thon
1140311,MAHMOUDI,,FETHI,INVEST. RESPONSABLE,matematicas,Univ. De Chile,4.743,2014,REGULAR,Fethi Mahmoudi 
1140313,FUENTEALBA,ROSAS,PATRICIO,COINVESTIGADOR,quimica 1,Univ. De Chile,4.813,2014,REGULAR,Patricio Fuentealba Rosas
1140313,CARDENAS,VALENCIA,CARLOS,INVEST. RESPONSABLE,quimica 1,Univ. De Chile,4.813,2014,REGULAR,Carlos Cardenas Valencia
1140317,PASTEN,PUCHI,CESAR,COINVESTIGADOR,ingenieria 1,Univ. De Chile,4.465,2014,REGULAR,Cesar Pasten Puchi
1140318,PEREZ,CORREA,FRANCISCO,INVEST. RESPONSABLE,agronomia,Univ. De Chile,4.22,2014,REGULAR,Francisco Perez Correa
1140319,CORVALAN,VERA,CARLOS,COINVESTIGADOR,geografia y urbanism,Univ. De Chile,4.127,2014,REGULAR,Carlos Corvalan Vera
1140319,PEÑA,ROJAS,KAREN,COINVESTIGADOR,geografia y urbanism,Univ. De Chile,4.127,2014,REGULAR,Karen Peña Rojas
1140319,HERNANDEZ,PALMA,HECTOR,INVEST. RESPONSABLE,geografia y urbanism,Univ. De Chile,4.127,2014,REGULAR,Hector Hernandez Palma
1140324,RONDON,SEPULVEDA,VICTOR,INVEST. RESPONSABLE,artes y arquitectura,Univ. De Chile,4.12,2014,REGULAR,Victor Rondon Sepulveda
1140325,GONZALEZ,BILLAULT,CHRISTIAN,INVEST. RESPONSABLE,biologia 2,Univ. De Chile,4.09,2014,REGULAR,Christian Gonzalez Billault
1140327,ESPINOZA,GONZALEZ,JEANNETTE,COINVESTIGADOR,agronomia,Univ. De Chile,4.79,2014,REGULAR,Jeannette Espinoza Gonzalez
1140327,FUENTES,PEREZ,EDWAR,COINVESTIGADOR,agronomia,Univ. De Chile,4.79,2014,REGULAR,Edwar Fuentes Perez
1140327,BAEZ,CONTRERAS,MARIA,INVEST. RESPONSABLE,agronomia,Univ. De Chile,4.79,2014,REGULAR,Maria Baez Contreras
1140328,BAEZ,CONTRERAS,MARIA,COINVESTIGADOR,quimica 2,Univ. De Chile,4.487,2014,REGULAR,Maria Baez Contreras
1140328,MARTINEZ,ARENAS,JESSICA,COINVESTIGADOR,quimica 2,Univ. De Chile,4.487,2014,REGULAR,Jessica Martinez Arenas
1140328,FUENTES,PEREZ,EDWAR,INVEST. RESPONSABLE,quimica 2,Univ. De Chile,4.487,2014,REGULAR,Edwar Fuentes Perez
1140329,CHIONG,LAY,MARIO,INVEST. RESPONSABLE,medicina g1,Univ. De Chile,4.02,2014,REGULAR,Mario Chiong Lay
1140330,SANTANDER,MORALES,JAVIER,INVEST. RESPONSABLE,salud prod anim,Univ. Mayor,4.103,2014,REGULAR,Javier Santander Morales
1140331,BASUALTO,FLORES,CARLOS,COINVESTIGADOR,ingenieria 3,Univ. De Chile,4.373,2014,REGULAR,Carlos Basualto Flores
1140331,MONTES,ATENAS,GONZALO,COINVESTIGADOR,ingenieria 3,Univ. De Chile,4.373,2014,REGULAR,Gonzalo Montes Atenas
1140331,VALENZUELA,LOZANO,FERNANDO,INVEST. RESPONSABLE,ingenieria 3,Univ. De Chile,4.373,2014,REGULAR,Fernando Valenzuela Lozano
1140335,PAWLOWSKI,,TOMASZ,INVEST. RESPONSABLE,"astron.,cosmol.y par",Univ. Andres Bello,4.185,2014,REGULAR,Tomasz Pawlowski 
1140337,ROJAS,LOBOS,FELIX,COINVESTIGADOR,ingenieria 2,Univ. De Chile,4.207,2014,REGULAR,Felix Rojas Lobos
1140337,CARDENAS,DOBSON,JESUS,INVEST. RESPONSABLE,ingenieria 2,Univ. De Chile,4.207,2014,REGULAR,Jesus Cardenas Dobson
1140340,MARTINEZ,ARAYA,JORGE,COINVESTIGADOR,quimica 1,Univ. Andres Bello,4.44,2014,REGULAR,Jorge Martinez Araya
1140340,JAQUE,OLMEDO,PABLO,INVEST. RESPONSABLE,quimica 1,Univ. Andres Bello,4.44,2014,REGULAR,Pablo Jaque Olmedo
1140341,CHAMORRO,JIMENEZ,EDUARDO,COINVESTIGADOR,quimica 1,Univ. Andres Bello,4.37,2014,REGULAR,Eduardo Chamorro Jimenez
1140341,PEREZ,LOPEZ,PATRICIA,INVEST. RESPONSABLE,quimica 1,Univ. Andres Bello,4.37,2014,REGULAR,Patricia Perez Lopez
1140343,PEREZ,LOPEZ,PATRICIA,COINVESTIGADOR,quimica 1,Univ. Andres Bello,4.23,2014,REGULAR,Patricia Perez Lopez
1140343,CHAMORRO,JIMENEZ,EDUARDO,INVEST. RESPONSABLE,quimica 1,Univ. Andres Bello,4.23,2014,REGULAR,Eduardo Chamorro Jimenez
1140344,MASCAREÑO,LARA,ALDO,COINVESTIGADOR,sociologia cs i,Univ. Andres Bello,4.767,2014,REGULAR,Aldo Mascareño Lara
1140344,COFRE,BASAURE,RODRIGO,INVEST. RESPONSABLE,sociologia cs i,Univ. Andres Bello,4.767,2014,REGULAR,Rodrigo Cofre Basaure
1140345,BURZIO,ERIZ,LUIS,COINVESTIGADOR,biologia 3,Univ. Andres Bello,4.34,2014,REGULAR,Luis Burzio Eriz
1140345,VIDAURRE,QUIÑONEZ,INGRID,COINVESTIGADOR,biologia 3,Univ. Andres Bello,4.34,2014,REGULAR,Ingrid Vidaurre Quiñonez
1140345,OLIVEIRA,CRUZ,LUCIANA,COINVESTIGADOR,biologia 3,Univ. Andres Bello,4.34,2014,REGULAR,Luciana Oliveira Cruz
1140345,BURZIO,MENENDEZ,VERONICA,INVEST. RESPONSABLE,biologia 3,Univ. Andres Bello,4.34,2014,REGULAR,Veronica Burzio Menendez
1140352,PIGNATA,,GIULIANO,INVEST. RESPONSABLE,"astron.,cosmol.y par",Univ. Andres Bello,4.395,2014,REGULAR,Giuliano Pignata 
